gene	log2FoldChange	lfcSE	stat	pvalue	padj	is_kbhb
AHCTF1	0.740682275528982	0.0684918188593729	10.8141715005371	2.94945579358693e-27	1.07810629418415e-26	TRUE
GATAD2B	0.671053034633718	0.0621834889809358	10.7914986056741	3.77581590770078e-27	1.37527893280488e-26	TRUE
GTF2F2	0.660543192340359	0.0612731441451896	10.7803051655905	4.26468578465279e-27	1.55059794250116e-26	TRUE
PTMS	1.1502852452469	0.106940728479768	10.756287726846	5.53553866955542e-27	2.00734893793369e-26	TRUE
ZNF639	0.626979891634724	0.0583299594844653	10.7488483992811	6.0006100677544e-27	2.17408241992765e-26	TRUE
KDM4A	0.620707003976668	0.057786626675183	10.7413607557618	6.5078029955203e-27	2.35473504564343e-26	TRUE
SAP30BP	0.613790036450287	0.0571727342605749	10.7357124753353	6.91832311548254e-27	2.49997864258615e-26	TRUE
STK33	2.11631589534182	0.197154008673282	10.7343285058378	7.02276581868448e-27	2.53660637719406e-26	TRUE
RBBP5	0.535208720591621	0.0499510268856295	10.7146690260655	8.68674032905931e-27	3.12802433847845e-26	TRUE
GNL3	0.56495499401749	0.0527363591806788	10.7128175474138	8.86227900497089e-27	3.1891422284715e-26	TRUE
WIZ	0.696674291864885	0.0650531042639261	10.7093166382717	9.20386784502003e-27	3.3070061488969e-26	TRUE
ARPC2	0.566298593102366	0.0531512090011238	10.6544818781148	1.66167357196678e-26	5.92011655334855e-26	TRUE
SMARCC1	0.778229653572393	0.0731608293878245	10.6372448219116	1.99954640896818e-26	7.10082611957708e-26	TRUE
FIP1L1	0.528980309940169	0.0497677611307201	10.6289754234824	2.18499666195178e-26	7.74937325702346e-26	TRUE
SNX9	-0.64398421377672	0.0605924641161911	-10.62812386276	2.20503617989083e-26	7.81876200996175e-26	TRUE
ABCF3	0.621306229344142	0.0585056204339323	10.6195990186234	2.41596665165741e-26	8.55379979635401e-26	TRUE
HNRNPM	0.563283376347524	0.0531550938482886	10.5969783056955	3.07763848468819e-26	1.08847665221994e-25	TRUE
RPS6KA4	0.962345476340554	0.0908312060142032	10.5948772296393	3.14753728771703e-26	1.11271997674617e-25	TRUE
PELP1	0.737252839994823	0.0696521054933054	10.5847889991737	3.50569702383384e-26	1.23774255770737e-25	TRUE
KRI1	0.765035871748052	0.0725076616480141	10.5511039021213	5.02037416783858e-26	1.76420190827567e-25	TRUE
HMOX2	0.759207626193356	0.0719583147997618	10.5506587849646	5.04421633291806e-26	1.77220205577473e-25	TRUE
HMGN4	0.646399443582612	0.0613462949649573	10.5368945908119	5.83953888275048e-26	2.0485659732052e-25	TRUE
NKIRAS2	0.53228946020695	0.0505657610365644	10.5266775243835	6.50915181304374e-26	2.2791027621814e-25	TRUE
YLPM1	-0.522975308952705	0.0496859414211233	-10.5256194004682	6.58270603954457e-26	2.30436692927679e-25	TRUE
CCDC124	1.174788256737	0.111691578794096	10.5181453196461	7.1262515046124e-26	2.48987870839067e-25	TRUE
EMD	0.730269783682408	0.0695654922575442	10.4975866623471	8.86167275455841e-26	3.0870565950775e-25	TRUE
PPAN	1.00882874139386	0.096112865839175	10.4962923806884	8.98397738025581e-26	3.12767770656813e-25	TRUE
ACAT1	-1.02695060985502	0.0981790490809423	-10.4599771485703	1.3188747076764e-25	4.5702672161842e-25	TRUE
NUMA1	-0.605355623903328	0.0579582200343939	-10.4446897013762	1.54961317548508e-25	5.35182050350519e-25	TRUE
POLD3	0.64639544471063	0.0619666278919339	10.4313477544382	1.78340521769346e-25	6.14379366522137e-25	TRUE
GTF3C1	0.542817664321331	0.0520547240764992	10.4278271367573	1.85072007276507e-25	6.36902976765359e-25	TRUE
C19orf47	0.895520956183312	0.0859084710513223	10.4241286711798	1.92414825034847e-25	6.61895743440323e-25	TRUE
PPWD1	-0.51250817604152	0.049170077429827	-10.4231720353287	1.94360636644255e-25	6.68170480922954e-25	TRUE
CDKN2AIP	-0.550104388344156	0.0527795488087786	-10.4226807685908	1.95367446251842e-25	6.71491491844935e-25	TRUE
ZNF280C	0.825025890753052	0.079281463328782	10.4062898956803	2.32091274018501e-25	7.96384040271442e-25	TRUE
FAM50A	1.04341532238706	0.100421326228515	10.3903758451935	2.74270178035183e-25	9.38571700271271e-25	TRUE
XRCC6	0.517657508194764	0.04987378285109	10.379351206231	3.0786021022331e-25	1.05099298883166e-24	TRUE
LRRC41	0.543701329770352	0.0523955512769126	10.3768605639221	3.1599604386106e-25	1.07777689607707e-24	TRUE
CSRP1	-1.09385782610478	0.105480310622973	-10.370256018819	3.38616324744556e-25	1.15230316585423e-24	TRUE
UNC119B	-0.789246193675111	0.0764498206883111	-10.3237154328052	5.50507235489226e-25	1.86067377807904e-24	TRUE
PRPF31	0.896110055946473	0.0869395971847865	10.3072717721688	6.53295795940284e-25	2.20492352362137e-24	TRUE
EEA1	-0.909668417606918	0.0884820642966443	-10.2808227276114	8.59903973034487e-25	2.89157417275044e-24	TRUE
SMARCC2	-0.606938519001271	0.059556409865678	-10.1909856616634	2.17547209957716e-24	7.22685072901696e-24	TRUE
MVD	1.1786169593929	0.116363424210712	10.1287579614248	4.11847406521283e-24	1.35529401342645e-23	TRUE
SLC27A4	0.738920742812949	0.0735712981064971	10.0436007224357	9.8029027766758e-24	3.18642716193289e-23	TRUE
PGAM1	0.605119230455544	0.0603243269078425	10.0310979247226	1.11272331055744e-23	3.60906337501464e-23	TRUE
SETDB1	0.683762870650159	0.0682490683242836	10.0186403629904	1.26227412211786e-23	4.08607587358263e-23	TRUE
RPL7L1	0.718801825357694	0.0718031271820829	10.0107314760109	1.36737751786795e-23	4.41761930287062e-23	TRUE
