Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
CHCHD3	GO:0022613	ribonucleoprotein complex biogenesis	44/392	437/13095	0.100686498855835	3.36349413907439	8.82752091613658	1.30377290940195e-12	1.22771948968683e-09	1.09699910061259e-09	LSG1/NOL7/NOM1/POP4/PNO1/RBIS/RUVBL1/C1D/RAN/NAT10/NOL11/NOP56/EIF2S2/GTPBP4/PRMT5/RSL24D1/RRP36/SNRPD1/GEMIN2/SF3B2/SF3A3/SNRPC/BUD23/HSP90AB1/UTP11/UTP18/USP39/PTGES3/DDX55/SRSF12/EBNA1BP2/EIF3J/METTL5/DNTTIP2/PAK1IP1/RPUSD4/MPHOSPH10/ABT1/BMS1/BYSL/DENR/DDX1/DKC1/GAR1	44
CHCHD3	GO:0140053	mitochondrial gene expression	26/392	166/13095	0.156626506024096	5.23220432751414	9.63971637369936	3.77672666229097e-12	2.41849696589009e-09	2.16098955722569e-09	MRPL1/MRPL3/MRPL9/MRPS7/MTIF2/PNPT1/PTCD3/RARS2/MRPL39/MRPL35/MRPL33/MRPL47/MRPL19/MRPL13/MRPL15/MRPL14/MRPL11/MRPS23/MRPS22/MRPS35/MRPS33/MRPS18A/TRIT1/LRPPRC/RPUSD4/GFM1	26
CHCHD3	GO:0033044	regulation of chromosome organization	28/392	230/13095	0.121739130434783	4.0667701863354	8.24263954056396	2.60740408847668e-10	1.00181664867059e-07	8.95149072570867e-08	POT1/PLK1/SKA3/SMG5/ACTL6A/RUVBL1/TTK/NAT10/NCAPG2/TRIP13/BAZ1B/BCL7B/BIRC5/CDCA8/CCT6A/PTGES3/HNRNPU/HNRNPD/HNRNPC/DLGAP5/MAD2L1BP/BUB1/CCT4/CCT2/CCT8/CCT7/DKC1/GNL3	28
CHCHD3	GO:0048285	organelle fission	36/392	416/13095	0.0865384615384615	2.89087029042386	6.88480993380606	1.00837739143726e-08	1.78041633175642e-06	1.590848016228e-06	NDC1/PLK1/SKA3/TPX2/TTK/RAN/MTCH2/MTFR2/NCAPG2/PGAM5/PRMT5/TRIP13/RAD51/SPAG5/BAZ1B/BCCIP/BIRC5/BNIP3/CDCA8/CDCA2/CCNB2/CHEK2/CHEK1/PSMC3IP/HNRNPU/DLGAP5/KNSTRN/MAD2L1BP/RAD54L/RANBP1/KIF4A/KIF22/KIF15/BUB1/CKS2/DRG1	36
CHCHD3	GO:0032200	telomere organization	22/392	174/13095	0.126436781609195	4.22369809992963	7.51981189306559	1.11872221682502e-08	1.85905309560629e-06	1.66111199749004e-06	POT1/RPA1/SMG5/ACTL6A/RUVBL1/NAT10/RAD51/APEX1/DCLRE1B/CCT6A/HSP90AB1/PTGES3/HNRNPU/HNRNPD/HNRNPC/CCT4/CCT2/CCT8/CCT7/DKC1/GAR1/GNL3	22
CHCHD3	GO:0000070	mitotic sister chromatid segregation	22/392	181/13095	0.121546961325967	4.06035065960086	7.28293008155156	2.32431041035949e-08	3.02208896438713e-06	2.70031461075001e-06	PLK1/SKA3/TPX2/TTK/RAN/NCAPG2/TRIP13/SPAG5/BAZ1B/BCCIP/BIRC5/CDCA8/CHEK2/HNRNPU/DLGAP5/KNSTRN/MAD2L1BP/KIF4A/KIF22/KIF15/BUB1/DRG1	22
CHCHD3	GO:0006403	RNA localization	22/392	185/13095	0.118918918918919	3.97255929398787	7.15285336697207	3.4706753722334e-08	4.0852741360664e-06	3.65029804500688e-06	NDC1/SMG5/XPO5/RUVBL1/MAGOH/RAN/NUP37/NUP205/PNPT1/RTRAF/MAGOHB/SRSF7/CCT6A/CKAP5/HNRNPU/LRPPRC/POM121C/CCT4/CCT2/CCT8/CCT7/DKC1	22
CHCHD3	GO:1904867	protein localization to Cajal body	6/392	12/13095	0.5	16.702806122449	9.55961217545867	5.49443234735619e-07	3.88044284532031e-05	3.46727599183161e-05	CCT6A/CCT4/CCT2/CCT8/CCT7/DKC1	6
CHCHD3	GO:1904872	regulation of telomerase RNA localization to Cajal body	6/392	12/13095	0.5	16.702806122449	9.55961217545867	5.49443234735619e-07	3.88044284532031e-05	3.46727599183161e-05	CCT6A/CCT4/CCT2/CCT8/CCT7/DKC1	6
CHCHD3	GO:0007093	mitotic cell cycle checkpoint signaling	15/392	128/13095	0.1171875	3.91472018494898	5.82114142601907	6.4437905812883e-06	0.000330976516220717	0.000295736072993863	MSH2/ORC1/PLK1/SKA3/TTK/TRIAP1/TRIP13/RINT1/BIRC5/CDCA8/CHEK2/CHEK1/MAD2L1BP/CDK5RAP3/BUB1	15
