gene	logFC	AveExpr	t	P.Value	adj.P.Val	is_kbhb
FANCI	0.690989960291631	6.3313507149984	13.3929985742823	1.8562677231017e-33	3.8729376745411e-32	TRUE
RIF1	0.577043951016616	6.70948771317333	13.383513390305	2.02130222323249e-33	4.18084895085187e-32	TRUE
NUP50	0.512243499916264	7.18633850403702	13.2663293601474	5.77994081767168e-33	1.16337094508296e-31	TRUE
TIMELESS	0.677672650737883	7.79245292967286	13.2120774397501	9.39119502486162e-33	1.85899093583046e-31	TRUE
HDAC2	0.799550709205849	9.98735191097799	13.2113535127713	9.45217493117967e-33	1.86797437253808e-31	TRUE
ME2	0.75762399232155	7.31029123745843	13.1677902245415	1.39503685933629e-32	2.72100348980642e-31	TRUE
PDCD5	0.868299822092314	9.148471145691	13.1518581724646	1.60829383278703e-32	3.12170614934482e-31	TRUE
CDK2	0.580244322058602	8.14860089237304	13.150436689075	1.62883184859285e-32	3.15645472795275e-31	TRUE
TXNL4A	0.500636567256759	6.26131164892161	13.117348317507	2.18825149173279e-32	4.21326364388938e-31	TRUE
CHD7	0.763522460591494	7.32920284574703	13.0548197424406	3.8203267586181e-32	7.23927741474847e-31	TRUE
GINS3	0.561896653244611	7.12466500832942	13.0526735191619	3.89403583307625e-32	7.35786573434523e-31	TRUE
TAGLN2	0.835434421810497	11.073502743594	13.0464795451813	4.11480599627169e-32	7.76045930887398e-31	TRUE
CALU	0.784141675809953	9.04236035440085	13.034732598685	4.56834542698709e-32	8.58877626901057e-31	TRUE
MAGOH	0.565545406452872	7.01019640235081	12.9384887956616	1.07464864499184e-31	1.98610990315159e-30	TRUE
CKAP5	0.5582302474815	9.90876024542443	12.9291031238166	1.168003387765e-31	2.14409606276137e-30	TRUE
NCAPD3	0.521284051726913	6.73047435570344	12.9245510448965	1.21614962870472e-31	2.22700427421524e-30	TRUE
POLD1	0.59626586952685	6.92429892045444	12.8725208903747	1.92906266026259e-31	3.4688369998956e-30	TRUE
MORC2	0.564668031465217	8.08588112034422	12.6716066812942	1.1383887984888e-30	1.95320118204898e-29	TRUE
C16orf87	0.513087377951863	6.69292557037315	12.579980353603	2.54913215706728e-30	4.23417568835475e-29	TRUE
RRP1B	0.542148826539092	6.84987091700323	12.5059942397419	4.87970339139697e-30	7.9835147288757e-29	TRUE
MTHFD2	0.77639288684403	8.9413868578579	12.5027508332953	5.02043504652369e-30	8.20255526837213e-29	TRUE
TEX10	0.515853827545081	7.46013254805043	12.4837159537591	5.93176786790473e-30	9.678317709268e-29	TRUE
NOP2	0.850799250891871	9.42316887251163	12.4778021962732	6.24715225229679e-30	1.01376551996621e-28	TRUE
PAK1IP1	0.622422526042621	8.66636679082693	12.4279249930616	9.66649535731722e-30	1.53332381985737e-28	TRUE
NDUFAF4	0.696867451523596	7.11803368623156	12.4158540129524	1.07425591052481e-29	1.69950974695445e-28	TRUE
PPP1R14C	1.35716309345479	6.69760565223712	12.4001070741503	1.23276341988744e-29	1.94257562060158e-28	TRUE
KIF20B	0.628644498895472	7.77266757208056	12.3441175221938	2.00985599886188e-29	3.13820540317729e-28	TRUE
PDHA1	0.598356504050742	8.54791605983836	12.2992319506948	2.9721959508852e-29	4.56932204207973e-28	TRUE
VRK1	0.506041560295884	6.98880905070094	12.2477059488603	4.65399060117102e-29	7.04629474584376e-28	TRUE
PRKDC	0.748855419044055	8.4932726925844	12.2029935475792	6.86367958565288e-29	1.02365413098106e-27	TRUE
ECI2	-1.00509590606758	8.35353093639988	-12.1718150412404	8.99640810149158e-29	1.32685940176679e-27	TRUE
SHMT2	0.623098616212227	10.2201193763053	12.1662131004222	9.44430719000016e-29	1.38949659591452e-27	TRUE
SRSF5	-0.661666262911272	9.8494857359857	-12.1659100611996	9.46916006216426e-29	1.3914436920795e-27	TRUE
ALYREF	0.858760853472357	7.45781582762083	12.0919917975404	1.79626147708588e-28	2.58558022230535e-27	TRUE
C1orf198	0.768217539309371	9.01490377405886	12.0805793587062	1.9826142118134e-28	2.83367084788351e-27	TRUE
XPC	-0.518275490737506	8.75802715909349	-12.0803665675208	1.98626581217523e-28	2.8352228088928e-27	TRUE
CYCS	0.743675308280107	8.41565258639264	12.0582942903553	2.40380966123122e-28	3.40283977575711e-27	TRUE
KPNA4	0.556176410370788	9.072081281605	12.0433989450091	2.73391079346365e-28	3.84287742517848e-27	TRUE
NCK1	0.705513941444564	8.88861944997847	11.9907312440097	4.30679455248265e-28	5.94218566365578e-27	TRUE
MRPL12	0.670577870614994	8.75176235958588	11.9759640222074	4.89135658378005e-28	6.72547490784729e-27	TRUE
SRSF12	0.519416107284925	5.7596889756514	11.9512927213601	6.04941235323878e-28	8.26086229673748e-27	TRUE
KDM2B	0.539795981527751	9.50623544434887	11.9450890155371	6.38125172982848e-28	8.67268317723461e-27	TRUE
NOLC1	0.592179499539606	7.31731708730483	11.9290470967106	7.32580898774739e-28	9.85774027384975e-27	TRUE
STK38	0.665218930225667	7.07680276646463	11.9040418948159	9.08310468800356e-28	1.21405426053048e-26	TRUE
VPS72	0.59562352159212	8.364108300979	11.8896882817012	1.02754022279185e-27	1.36579597204831e-26	TRUE
RCC1	0.608113331203747	6.51954890924676	11.8453799801093	1.50305677852342e-27	1.9715890448627e-26	TRUE
LYAR	0.503566562867997	8.00479431828629	11.7412300734271	3.66605508600186e-27	4.66079359978326e-26	TRUE
KRT18	-1.05435941570991	11.1567179900303	-11.6291038268471	9.53727951916545e-27	1.17027110165497e-25	TRUE
NUP153	0.534052010925789	7.52841770118417	11.6141606982452	1.08300473311662e-26	1.32212687908304e-25	TRUE
SYNCRIP	0.597203815920931	8.73948132685746	11.610299919098	1.11915060183967e-26	1.36347381562888e-25	TRUE
POLA2	0.5633241930464	7.98480898082491	11.5919150540526	1.30844877602437e-26	1.58282651936039e-25	TRUE
YWHAZ	0.652209360353403	12.1078009460939	11.5547804066148	1.79347475669925e-26	2.13293482484908e-25	TRUE
NOP58	0.570485799352482	8.33491553980091	11.4642138932299	3.86233023531601e-26	4.46304282034834e-25	TRUE
GATAD2A	0.542135837313626	9.51264252841006	11.4036299223871	6.44247876425101e-26	7.29944424604258e-25	TRUE
DNMT1	0.64100382095138	10.3184436854406	11.3980119720675	6.75508676343961e-26	7.63197349801442e-25	TRUE
PCNA	0.84155587945337	8.83232463484616	11.3570741300038	9.53767336329093e-26	1.06353050464406e-24	TRUE
GLUD1	-0.571160897760077	9.69332940171402	-11.3393236402266	1.10744884654935e-25	1.22576778061691e-24	TRUE
UBE2V2	0.695030416051634	8.77700661798877	11.3322675716841	1.17517345278547e-25	1.29952698712454e-24	TRUE
TTC12	-0.558246448094124	6.70152379688589	-11.2371957935522	2.61042615263899e-25	2.8420421458186e-24	TRUE
PARP1	0.610841486797139	10.5316878101935	11.2292774626452	2.78945137791856e-25	3.03419343341986e-24	TRUE
RPL34	0.736977729607239	8.92222191505177	11.1855540019706	4.02176812338473e-25	4.30811225810872e-24	TRUE
RTKN	0.582151114744423	9.5327816198735	11.1082759112447	7.6656085376304e-25	8.03882030180925e-24	TRUE
NFIC	-0.766924894292203	9.16730761628064	-11.0760518440841	1.0025044278071e-24	1.03768306200673e-23	TRUE
EIF4EBP1	0.648163678515608	6.42924517923471	10.9064578360423	4.09028997736219e-24	4.04169247268066e-23	TRUE
EEF1A2	-2.01644778472188	7.5959800355499	-10.8622056340218	5.8931119764388e-24	5.77072028044408e-23	TRUE
HMGB2	0.901652944629459	7.65423683114788	10.8336367857725	7.45696103498425e-24	7.23113889513938e-23	TRUE
CMAS	0.616292449428092	8.66600340904206	10.809751526497	9.07653363154898e-24	8.7309692185888e-23	TRUE
ACOT9	0.603158902054294	7.32723579235258	10.7862907410814	1.10070472992124e-23	1.05036174068022e-22	TRUE
CCDC86	0.525337079641101	8.38421338666814	10.7674754578575	1.28461513591394e-23	1.21906108301944e-22	TRUE
FHL1	-0.82336464466768	6.97983795218803	-10.7593700325296	1.37297323495006e-23	1.29740547323783e-22	TRUE
DCUN1D5	0.664531099639988	8.49486981917607	10.6443708071604	3.5185814717955e-23	3.22160028335038e-22	TRUE
AIF1L	0.914766468785632	7.58549576903547	10.4738864934947	1.4066076447692e-22	1.23139862235058e-21	TRUE
RCC2	0.511102919074797	10.9413924574084	10.4310025130137	1.98960977328006e-22	1.72538498514135e-21	TRUE
CCT3	0.553760861115873	8.05479058956525	10.4092772693887	2.37103566964039e-22	2.03990827439751e-21	TRUE
ME3	-0.653829419554566	6.89854541735982	-10.3601608984712	3.52240323970962e-22	2.99466742079136e-21	TRUE
S100A11	0.699951906836208	9.89999376988442	10.2749832678992	6.9813645534581e-22	5.7860776395996e-21	TRUE
ARPC5	0.514429496946234	9.80300226223876	10.0590297446406	3.90244289008851e-21	3.06463318371803e-20	TRUE
SCNM1	0.510430531090914	8.36565522537671	10.0218331404058	5.23850040209404e-21	4.06323062276413e-20	TRUE
GMPR2	-0.515608500449802	8.85984651739899	-10.0122692257951	5.6499309818891e-21	4.37385736516508e-20	TRUE
AFG3L2	0.512388128698048	9.06064144694872	10.0058641461593	5.94325556278055e-21	4.58611009148582e-20	TRUE
CACYBP	0.785326202501506	8.31956724888322	9.99373642819729	6.54069480961723e-21	5.03091593063429e-20	TRUE
PDLIM1	-0.745079691117045	9.10273783235405	-9.98195250075575	7.17823611721912e-21	5.50714642791904e-20	TRUE
SAP30	0.722990108237256	7.59609863670592	9.88624911312341	1.52443064555442e-20	1.13831979569179e-19	TRUE
USP13	0.599785357423986	7.98809125949207	9.87382203302011	1.68055531648868e-20	1.24930667102846e-19	TRUE
LDHB	1.02438006013619	9.54315180768329	9.85684150482858	1.91984465238992e-20	1.41772061970555e-19	TRUE
CBFB	0.503235428339873	8.01863773034843	9.80842755184689	2.8041194446953e-20	2.05144376723707e-19	TRUE
FABP5	1.08016377189256	8.6243996359947	9.73070792565097	5.14010786342742e-20	3.6993949382456e-19	TRUE
SMARCA4	0.513132166724018	9.85481471288383	9.72255840142136	5.47646352318678e-20	3.93674232615155e-19	TRUE
BTF3	-0.622926740405969	12.2675524050784	-9.67267626359088	8.06698756887164e-20	5.73354558604194e-19	TRUE
HSPA2	-0.918740668568811	7.26927018120596	-9.60198214034128	1.39400031862927e-19	9.72875746847561e-19	TRUE
CSTF3	0.660385161076717	8.50289648645968	9.582315102093	1.62245544203656e-19	1.1277148214643e-18	TRUE
XAB2	-0.529319162547452	9.04871633174414	-9.57919956574689	1.66190710979728e-19	1.15379707518448e-18	TRUE
RBM34	0.527033522337002	7.5940995696804	9.36294355555756	8.7106751951665e-19	5.72238322201394e-18	TRUE
PDCD4	-0.683253736394482	10.6457149544011	-9.23825178079819	2.24131196461258e-18	1.43386496197651e-17	TRUE
CASZ1	-0.570414176983043	6.8280638692819	-9.17380938761874	3.64206775570559e-18	2.29203381199843e-17	TRUE
ACSF2	-0.532340465752962	6.58948065176374	-9.16595411619389	3.86357204456012e-18	2.42760434447282e-17	TRUE
STARD13	-0.500449167886751	6.6357205078526	-9.15716452484238	4.12728261826342e-18	2.58246272917047e-17	TRUE
PARVB	0.603529156812921	7.79732781310396	9.10883002804253	5.93001445652266e-18	3.67017328844007e-17	TRUE
GMNN	0.585164695651752	6.94544534269005	8.97883788898947	1.56260291586698e-17	9.38031705284357e-17	TRUE
GPI	0.561295149814553	9.93033856481753	8.87485938334051	3.3711141615222e-17	1.96938844870195e-16	TRUE
NFIA	-0.786255361739089	7.90191241927697	-8.78696288279695	6.42951726943801e-17	3.66491665010898e-16	TRUE
PUF60	0.540625016181645	10.8305007838906	8.77533768972296	7.0005957199792e-17	3.97530271894125e-16	TRUE
RRS1	0.55233389575852	7.81975587262785	8.76658312220269	7.46355551462402e-17	4.23217522931521e-16	TRUE
RPL22	-0.67482442062745	10.9382128367154	-8.66387097993666	1.57737593484895e-16	8.70938413819781e-16	TRUE
RAD21	0.789706629597556	7.60120861419559	8.446123016641	7.56615806533847e-16	3.96552774575464e-15	TRUE
S100A10	0.612131845676142	11.8499364342999	8.42017613082342	9.10493650894069e-16	4.74090085352494e-15	TRUE
ANXA2	0.750671300578144	8.95775325143576	8.30648179617288	2.04030130647835e-15	1.03536645959257e-14	TRUE
CSRP2	0.673122079645565	7.68769485640118	8.21127858630289	3.9877859262686e-15	1.95728378086036e-14	TRUE
HMGB3	0.645203087690848	7.61796426633279	8.08978626162804	9.30952796776897e-15	4.42599868765388e-14	TRUE
FH	0.511866223409768	9.8952504723475	8.00873222089932	1.63133978208999e-14	7.61673498257688e-14	TRUE
UBE2E3	0.599510265389743	8.91477826815344	7.78883782702331	7.33067977571625e-14	3.22884225796167e-13	TRUE
PAPSS1	0.572636590803313	6.70768076733835	7.26640607159773	2.31836791382659e-12	8.98536379805412e-12	TRUE
DDX21	0.570553215350268	8.53590956316654	7.10609727603851	6.46724334136773e-12	2.40607972215657e-11	TRUE
ME1	0.523187285879563	6.49226506619275	7.05347691727182	9.02424217527977e-12	3.31923600402797e-11	TRUE
CARHSP1	0.554258997355601	8.71876195662839	6.89996364251735	2.36093291182711e-11	8.35288997106099e-11	TRUE
RBM20	-0.647785082393427	6.06395475041371	-6.83389956859038	3.55442674008148e-11	1.24213057015512e-10	TRUE
DSP	0.566076774631208	9.21912981210151	6.72130746182319	7.09101607553913e-11	2.42426515902531e-10	TRUE
IDH2	0.578383519867642	9.86377432767867	6.60108900757576	1.46859345704892e-10	4.86524902949318e-10	TRUE
CENPV	0.658318118058117	7.82407110554947	6.54541994374797	2.05061686754738e-10	6.69890551166051e-10	TRUE
ZNF462	0.53984765343255	8.76370682934228	6.32340993049335	7.60189222536799e-10	2.34821411635303e-09	TRUE
TAGLN	-0.685049169661841	9.70861288284884	-6.20503970909399	1.50748468869358e-09	4.54106614103818e-09	TRUE
